"Melatonin" "Weight"
"ctrl" 3238.95685703626
"ctrl" 3299.87653021083
"ctrl" 3235.70635522037
"ctrl" 3347.11572734052
"ctrl" 3403.28020331719
"ctrl" 3282.5994559186
"ctrl" 3271.96510507084
"ctrl" 3261.68436891957
"1nmole" 2634.37812096341
"1nmole" 2450.05375120128
"1nmole" 2690.94508677017
"1nmole" 2811.03521217377
"1nmole" 2532.15199849117
"1nmole" 2543.33127744092
"1nmole" 2614.29518526592
"1nmole" 2717.91650563708
"10nmole" 1339.54892989772
"10nmole" 1199.14634440176
"10nmole" 1617.7676659597
"10nmole" 1332.30011118073
"10nmole" 1599.89435110417
"10nmole" 1672.24363064548
"10nmole" 959.874735755094
"10nmole" 1476.51976378719
"100nmole" 998.653209131103
"100nmole" 778.024558247938
"100nmole" 312.287725662213
"100nmole" 719.351324495653
"100nmole" 944.298800520292
"100nmole" 691.050961541523
"100nmole" 606.120623913875
"100nmole" 1016.92321291471
